afganistan, asia
albania, europa
alemania, europa
andorra, europa
angola, africa
antigua y barbuda, america
arabia saudita, asia
argelia, africa
argentina, america
armenia, asia
australia, oceania
austria, europa
azerbaiyan, asia
bahamas, america
bangladesh, asia
barbados, america
barein, asia
belgica, europa
belice, america
benin, africa
bielorrusia, europa
birmania, asia
bolivia, america
bosnia y herzegovina, europa
botsuana, africa
brasil, america
brunei, asia
bulgaria, europa
burkina faso, africa
burundi, africa
cabo verde, africa
camboya, asia
camerun, africa
canada, america
catar, asia
chad, africa
chile, america
china, asia
chipre, europa
colombia, america
comoras, africa
congo, africa
corea del norte, asia
corea del sur, asia
costa de marfil, africa
costa rica, america
croacia, europa
cuba, america
dinamarca, europa
dominica, america
ecuador, america
egipto, africa
el salvador, america
emiratos arabes unidos, asia
eritrea, africa
eslovaquia, europa
eslovenia, europa
españa, europa
estados unidos, america
estonia, europa
fiyi, oceania
filipinas, asia
finlandia, europa
francia, europa
gabon, africa
gambia, africa
georgia, asia
ghana, africa
granada, america
grecia, europa
guatemala, america
guinea, africa
guinea bisau, africa
guinea ecuatorial, africa
guyana, america
haiti, america
honduras, america
hungria, europa
india, asia
indonesia, asia
irak, asia
iran, asia
irlanda, europa
islandia, europa
islas marshall, oceania
islas salomon, oceania
israel, asia
italia, europa
jamaica, america
japon, asia
jordania, asia
kazajistan, asia
kenia, africa
kirguistan, asia
kiribati, oceania
kuwait, asia
laos, asia
lesoto, africa
letonia, europa
libano, asia
liberia, africa
libia, africa
liechtenstein, europa
lituania, europa
luxemburgo, europa
madagascar, africa
malasia, asia
malaui, africa
maldivas, asia
mali, africa
malta, europa
marruecos, africa
mauricio, africa
mauritania, africa
mexico, america
micronesia, oceania
moldavia, europa
monaco, europa
mongolia, asia
montenegro, europa
mozambique, africa
namibia, africa
nauru, oceania
nepal, asia
nicaragua, america
niger, africa
nigeria, africa
noruega, europa
nueva zelanda, oceania
oman, asia
paises bajos, europa
pakistan, asia
palaos, oceania
palestina, asia
panama, america
papua nueva guinea, oceania
paraguay, america
peru, america
polonia, europa
portugal, europa
reino unido, europa
republica centroafricana, africa
republica checa, europa
republica democratica del congo, africa
republica dominicana, america
ruanda, africa
rumania, europa
rusia, europa
samoa, oceania
san cristobal y nieves, america
san marino, europa
san vicente y las granadinas, america
santa lucia, america
santo tome y principe, africa
santa sede, europa
senegal, africa
serbia, europa
seychelles, africa
sierra leona, africa
singapur, asia
siria, asia
somalia, africa
sri lanka, asia
sudafrica, africa
sudan, africa
sudan del sur, africa
suecia, europa
suiza, europa
surinam, america
tailandia, asia
tanzania, africa
tayikistan, asia
timor oriental, asia
togo, africa
tonga, oceania
trinidad y tobago, america
tunez, africa
turkmenistan, asia
turquia, asia
tuvalu, oceania
ucrania, europa
uganda, africa
uruguay, america
uzbekistan, asia
vanuatu, oceania
vaticano, europa
venezuela, america
vietnam, asia
yemen, asia
zambia, africa
zimbabue, africa